k,n,mu,tau_sq,coverage,avg_size
20,20,0,1,0.898,5.05440176822122
20,20,1,0.1,0.902,3.83611440732328
25,20,0,1,0.921,5.44864963501727
25,20,1,0.1,0.92,4.00841554830323
30,20,0,1,0.908,4.89275380149012
30,20,1,0.1,0.906,3.66136200727936
35,20,0,1,0.918,5.12417542619341
35,20,1,0.1,0.902,3.79398250524631
40,20,0,1,0.909,4.75759592084569
40,20,1,0.1,0.902,3.58610910252988
45,20,0,1,0.905,4.95956601414637
45,20,1,0.1,0.927,3.71954787984898
50,20,0,1,0.907,4.76845992887451
50,20,1,0.1,0.911,3.57555079392829
55,20,0,1,0.905,4.88012140809363
55,20,1,0.1,0.918,3.68131196839666
60,20,0,1,0.907,4.72633813844127
60,20,1,0.1,0.896,3.54327699953732
65,20,0,1,0.91,4.83772500665558
65,20,1,0.1,0.911,3.64757605038158
70,20,0,1,0.906,4.69100914819003
70,20,1,0.1,0.907,3.54974688158815
75,20,0,1,0.918,4.78749141831414
75,20,1,0.1,0.912,3.60844168367251
80,20,0,1,0.91,4.64384306051507
80,20,1,0.1,0.9,3.52102231843228
85,20,0,1,0.907,4.77384522653954
85,20,1,0.1,0.898,3.60093312158556
90,20,0,1,0.913,4.64483833061215
90,20,1,0.1,0.911,3.52321649324237
95,20,0,1,0.907,4.7425959680285
95,20,1,0.1,0.905,3.57498966147224
100,20,0,1,0.911,4.6251759304818
100,20,1,0.1,0.891,3.51616610801869
200,20,0,1,0.89,4.57700169126254
200,20,1,0.1,0.895,3.48657322583998
300,20,0,1,0.902,4.56746563083757
300,20,1,0.1,0.911,3.46770424416832
400,20,0,1,0.905,4.55581653973313
400,20,1,0.1,0.907,3.46643150259371
500,20,0,1,0.892,4.54003531468594
500,20,1,0.1,0.896,3.45879573157893
600,20,0,1,0.889,4.54124885468813
600,20,1,0.1,0.882,3.45167677749168
700,20,0,1,0.899,4.54912745714114
700,20,1,0.1,0.911,3.45957541583922
800,20,0,1,0.894,4.53421755224531
800,20,1,0.1,0.903,3.44747899618937
900,20,0,1,0.894,4.54542840627365
900,20,1,0.1,0.894,3.457157581182
1000,20,0,1,0.899,4.55436699426992
1000,20,1,0.1,0.911,3.46733037312631
20,100,0,1,0.922,5.05360856074481
