k,n,mu,tau_sq,coverage_2alpha,avg_size_2alpha
20,20,0,1,0.953,5.69191948218992
25,20,0,1,0.949,5.42247772637914
30,20,0,1,0.936,5.23990995436497
35,20,0,1,0.942,5.16769820333079
40,20,0,1,0.934,5.06294476502522
45,20,0,1,0.917,5.00906407826382
50,20,0,1,0.938,4.95394285714626
55,20,0,1,0.919,4.91137641997634
60,20,0,1,0.918,4.8646069970104
65,20,0,1,0.925,4.83743937244404
70,20,0,1,0.927,4.81693990263154
75,20,0,1,0.915,4.79606795062958
80,20,0,1,0.914,4.78270453792419
85,20,0,1,0.915,4.77352362024285
90,20,0,1,0.918,4.75650832110184
95,20,0,1,0.93,4.73721773877703
100,20,0,1,0.915,4.73608430783134
200,20,0,1,0.906,4.6276188905457
300,20,0,1,0.908,4.59922384306034
400,20,0,1,0.913,4.57799272099036
500,20,0,1,0.901,4.56735595569631
600,20,0,1,0.9,4.56341801490986
700,20,0,1,0.902,4.55610422780338
800,20,0,1,0.905,4.55134672178953
900,20,0,1,0.905,4.55041563292678
1000,20,0,1,0.896,4.5463233583979
20,100,0,1,0.945,5.71533271820255
25,100,0,1,0.95,5.44398871611617
30,100,0,1,0.934,5.28791664481815
35,100,0,1,0.945,5.15254702827043
40,100,0,1,0.919,5.08005768036661
45,100,0,1,0.915,5.01474104830091
50,100,0,1,0.926,4.94408943394741
55,100,0,1,0.931,4.9044667107627
60,100,0,1,0.91,4.87182770311808
65,100,0,1,0.901,4.84010737101788
70,100,0,1,0.909,4.82146857332131
75,100,0,1,0.916,4.79480455399412
80,100,0,1,0.928,4.77947792327851
85,100,0,1,0.92,4.77627720601417
90,100,0,1,0.922,4.75882774092994
95,100,0,1,0.898,4.75167929714166
100,100,0,1,0.904,4.73835566901514
200,100,0,1,0.903,4.6320499377943
300,100,0,1,0.894,4.59963166226718
400,100,0,1,0.889,4.58126920790634
500,100,0,1,0.893,4.5680841470258
600,100,0,1,0.909,4.56257105195412
700,100,0,1,0.895,4.55889765381327
800,100,0,1,0.89,4.55495177237482
900,100,0,1,0.897,4.55063057895286
1000,100,0,1,0.898,4.5483585910489
20,1000,0,1,0.958,5.70149300248604
25,1000,0,1,0.944,5.44466467742153
30,1000,0,1,0.937,5.24437392856235
35,1000,0,1,0.939,5.1591632780988
40,1000,0,1,0.932,5.05841106799879
45,1000,0,1,0.932,5.00176182182411
50,1000,0,1,0.934,4.9384228926116
55,1000,0,1,0.902,4.92070127320733
60,1000,0,1,0.933,4.88021736526116
65,1000,0,1,0.921,4.84742886071851
70,1000,0,1,0.914,4.82353612699244
75,1000,0,1,0.907,4.7977758424973
80,1000,0,1,0.921,4.78547618811903
85,1000,0,1,0.916,4.77374672746365
90,1000,0,1,0.914,4.76041627150729
95,1000,0,1,0.91,4.74024552456792
100,1000,0,1,0.908,4.73519667825727
200,1000,0,1,0.901,4.63051342217039
300,1000,0,1,0.899,4.59742361760837
400,1000,0,1,0.914,4.58016257097146
500,1000,0,1,0.904,4.56940235867785
600,1000,0,1,0.899,4.56263942885181
700,1000,0,1,0.919,4.55666488056218
800,1000,0,1,0.912,4.55419224912527
900,1000,0,1,0.883,4.55028413051131
1000,1000,0,1,0.904,4.54950937812556
20,20,1,0.1,0.945,4.23807987370919
25,20,1,0.1,0.946,4.03973045131658
30,20,1,0.1,0.928,3.91040861242554
35,20,1,0.1,0.928,3.86393099418065
40,20,1,0.1,0.929,3.78269970748609
45,20,1,0.1,0.926,3.75197955932799
50,20,1,0.1,0.927,3.71934079254832
55,20,1,0.1,0.918,3.69025741960294
60,20,1,0.1,0.915,3.66072814535068
65,20,1,0.1,0.917,3.64616968734715
70,20,1,0.1,0.929,3.63275243204167
75,20,1,0.1,0.91,3.61949880310283
80,20,1,0.1,0.915,3.60754158450774
85,20,1,0.1,0.907,3.60430050726875
90,20,1,0.1,0.905,3.59372047874103
95,20,1,0.1,0.924,3.57903939709958
100,20,1,0.1,0.902,3.57765803395689
200,20,1,0.1,0.904,3.50982462977452
300,20,1,0.1,0.912,3.49241370578318
400,20,1,0.1,0.898,3.47930722200773
500,20,1,0.1,0.894,3.47196129863428
600,20,1,0.1,0.892,3.46905175478982
700,20,1,0.1,0.906,3.46535130968236
800,20,1,0.1,0.896,3.46268787103591
900,20,1,0.1,0.893,3.46158521616583
1000,20,1,0.1,0.89,3.46015927293872
20,100,1,0.1,0.95,4.25437057442726
25,100,1,0.1,0.958,4.05541489303155
30,100,1,0.1,0.937,3.94582813855241
35,100,1,0.1,0.944,3.85410593227006
40,100,1,0.1,0.924,3.80246579454656
45,100,1,0.1,0.92,3.76431457403292
50,100,1,0.1,0.92,3.71555563113725
55,100,1,0.1,0.935,3.69035373104844
60,100,1,0.1,0.91,3.66920316557168
65,100,1,0.1,0.923,3.65086716101093
70,100,1,0.1,0.932,3.6383827061216
75,100,1,0.1,0.908,3.62054457806594
80,100,1,0.1,0.911,3.6096973633493
85,100,1,0.1,0.91,3.60627439577632
90,100,1,0.1,0.926,3.59469697614525
95,100,1,0.1,0.903,3.58677172883822
100,100,1,0.1,0.921,3.5786852202699
200,100,1,0.1,0.907,3.51277120784152
300,100,1,0.1,0.897,3.49074101801808
400,100,1,0.1,0.892,3.48028605765949
500,100,1,0.1,0.891,3.47425081207839
600,100,1,0.1,0.908,3.46972277461289
700,100,1,0.1,0.889,3.4682470634459
800,100,1,0.1,0.897,3.46490250370761
900,100,1,0.1,0.905,3.46304786416731
1000,100,1,0.1,0.905,3.46145707443426
20,1000,1,0.1,0.958,4.24876702731724
25,1000,1,0.1,0.949,4.05871659288431
30,1000,1,0.1,0.942,3.91606400844894
35,1000,1,0.1,0.934,3.85825639869409
40,1000,1,0.1,0.936,3.78750249599602
45,1000,1,0.1,0.932,3.7580063983501
50,1000,1,0.1,0.932,3.71163940431789
55,1000,1,0.1,0.912,3.70053499525939
60,1000,1,0.1,0.934,3.67457100661061
65,1000,1,0.1,0.916,3.65468857294831
70,1000,1,0.1,0.92,3.63676367660187
75,1000,1,0.1,0.912,3.62310468961012
80,1000,1,0.1,0.928,3.61058273168683
85,1000,1,0.1,0.931,3.60614582429252
90,1000,1,0.1,0.905,3.59511642533778
95,1000,1,0.1,0.904,3.58256444834139
100,1000,1,0.1,0.905,3.5777942920655
200,1000,1,0.1,0.898,3.51112344045146
300,1000,1,0.1,0.901,3.49029815940157
400,1000,1,0.1,0.919,3.47954234218914
500,1000,1,0.1,0.924,3.47303000049467
600,1000,1,0.1,0.89,3.46915370416725
700,1000,1,0.1,0.896,3.46618008462252
800,1000,1,0.1,0.917,3.46394389358056
900,1000,1,0.1,0.888,3.46237563871179
1000,1000,1,0.1,0.906,3.46177830958177
