k,n,tau_sq,coverage_2alpha,avg_length_2alpha
5,40,1,,
10,40,1,,
15,40,1,,
20,40,1,0.983,7.67231222478906
25,40,1,0.973,6.28372029707065
30,40,1,0.956,5.84465141979354
35,40,1,0.951,5.63421287804834
40,40,1,0.945,5.43246734887691
45,40,1,0.933,5.32624556685784
50,40,1,0.934,5.26266707953857
55,40,1,0.931,5.17392251255752
60,40,1,0.927,5.14425181730356
65,40,1,0.935,5.08362250874043
70,40,1,0.912,5.05411406568737
75,40,1,0.916,5.0262420995796
80,40,1,0.926,4.99324429882292
85,40,1,0.922,4.96931151333504
90,40,1,0.924,4.9434765271532
95,40,1,0.903,4.94125196961287
100,40,1,0.922,4.9239138449581
200,40,1,0.914,4.78403543786681
300,40,1,0.904,4.7372250051748
400,40,1,0.903,4.71575446732588
500,40,1,0.897,4.70428740809141
600,40,1,0.915,4.6941915027406
700,40,1,0.905,4.69084462913558
800,40,1,0.906,4.68492014184925
900,40,1,0.89,4.68086366198226
1000,40,1,0.888,4.67722221714891
5,100,1,,
10,100,1,,
15,100,1,,
20,100,1,0.988,7.72279409690825
25,100,1,0.977,6.26096012382409
30,100,1,0.958,5.83767380468986
35,100,1,0.941,5.58989859576225
40,100,1,0.932,5.44838849016804
45,100,1,0.934,5.33960835003735
50,100,1,0.937,5.24916164598255
55,100,1,0.922,5.17344606239935
60,100,1,0.915,5.12228778469685
65,100,1,0.929,5.07889088086248
70,100,1,0.923,5.05866668597117
75,100,1,0.909,5.03034216625478
80,100,1,0.932,4.99106318752937
85,100,1,0.926,4.96903092416452
90,100,1,0.908,4.96047104939136
95,100,1,0.915,4.93636219243326
100,100,1,0.907,4.93077862703787
200,100,1,0.909,4.79153660578781
300,100,1,0.908,4.74197722629936
400,100,1,0.893,4.7227887759756
500,100,1,0.905,4.70601247298123
600,100,1,0.892,4.70172199129058
700,100,1,0.907,4.68803451615878
800,100,1,0.91,4.68619996321579
900,100,1,0.89,4.67958039748732
1000,100,1,0.906,4.67735304228689
5,1000,1,,
10,1000,1,,
15,1000,1,,
20,1000,1,0.991,7.65955430239445
25,1000,1,0.959,6.26966504699238
30,1000,1,0.958,5.84564345968231
35,1000,1,0.96,5.61974443666458
40,1000,1,0.949,5.43748729051737
45,1000,1,0.946,5.33542972308822
50,1000,1,0.948,5.26251236309421
55,1000,1,0.925,5.19830513227146
60,1000,1,0.927,5.13338976904528
65,1000,1,0.921,5.08883873417489
70,1000,1,0.942,5.06052917497548
75,1000,1,0.916,5.01835407424295
80,1000,1,0.937,4.98661107143875
85,1000,1,0.93,4.9854197705453
90,1000,1,0.898,4.95924999772144
95,1000,1,0.912,4.93874408221941
100,1000,1,0.917,4.91841315775084
200,1000,1,0.899,4.78494212862966
300,1000,1,0.909,4.73830291158031
400,1000,1,0.909,4.7197549613201
500,1000,1,0.928,4.70215826425709
600,1000,1,0.917,4.69727784689855
700,1000,1,0.907,4.6872753868143
800,1000,1,0.902,4.68529493716311
900,1000,1,0.891,4.67883050949234
1000,1000,1,0.905,4.67935246518984
