k,n_small,n_large,coverage,avg_length
20,5,1000,0.906,38.4798579432106
25,5,1000,0.931,39.9389898491645
30,5,1000,0.93,40.8137225091316
35,5,1000,0.943,41.6671783433633
40,5,1000,0.905,35.4755585694572
45,5,1000,0.9,36.1246209779021
50,5,1000,0.909,37.0456757230755
55,5,1000,0.936,37.5647501946924
60,5,1000,0.918,34.8807467540359
65,5,1000,0.898,35.3389932916745
70,5,1000,0.917,35.6178519115732
75,5,1000,0.917,35.8103775733114
80,5,1000,0.898,34.5876303040397
85,5,1000,0.921,34.8934859420295
90,5,1000,0.924,35.0080992088742
95,5,1000,0.899,35.1479780918302
100,5,1000,0.915,34.3142317442773
