sim,method_2_lb,method_2_ub,method_3_lb,method_3_ub
1,-2.80445255737923,2.48855108245932,-2.58275051670064,2.53122003060985
2,-2.2038600128699,2.1886170595685,-2.51758559345007,2.50727508013595
3,-2.83666561592316,2.02980972849483,-2.63754723789857,2.58296778671068
4,-2.63917105108017,2.60649090134232,-2.54540858286807,2.59824914594363
5,-3.13353692149167,2.51819145229432,-2.52576813369325,2.5546337844239
6,-2.63091782238833,2.45248738336737,-2.57158461002036,2.55949118665933
7,-2.91752848794914,2.74254995580304,-2.54264620462873,2.49562171006853
8,-2.29589099534133,2.40592524345221,-2.59389121544745,2.60228653565991
9,-2.95484335893478,2.7239126906034,-2.63597953993269,2.55124288480989
10,-2.20909170817743,1.98538615287657,-2.53618724299468,2.57433451971996
11,-1.93896869879044,2.89518099251063,-2.61899555093915,2.59886222853443
12,-1.92298240229512,2.07162602652431,-2.5608780065743,2.59140916726809
13,-2.18083603970323,2.52277977867153,-2.61676855088449,2.61313217568893
14,-2.76742822027347,2.49224553663029,-2.57464851783741,2.54347076901708
15,-2.91555111628699,2.72707826459808,-2.61450119358592,2.56163207018073
16,-2.63082016414635,2.41953131964418,-2.53540363037585,2.56659864726289
17,-2.33106684982127,2.84221811481786,-2.57148711895228,2.5244726456961
18,-2.48633477817947,2.14392986858832,-2.54301954803086,2.59917687265013
19,-2.57595601731404,2.38663588792121,-2.54857076739769,2.60822566645621
20,-2.92462425108125,2.65702049629204,-2.56618709963472,2.62345900713063
21,-2.3971690468893,2.39090565509399,-2.5934282924149,2.63556553903998
22,-2.7770494828803,2.41202910966689,-2.57574553455062,2.58933703120116
23,-3.23391364128473,2.09620298456546,-2.61869710047414,2.56524664905233
24,-2.2231283218021,2.69135308183063,-2.57608909424349,2.59067410453299
25,-2.24280362683814,2.18372327953749,-2.57867879271492,2.58276944328373
26,-2.9671314051477,2.35821459012846,-2.56336897400133,2.54008499116122
27,-2.19877532679836,2.62626695888725,-2.59090734662755,2.5292278459089
28,-2.45587959157074,2.39559539485472,-2.55858718688073,2.53824267758393
29,-2.47258977505181,2.37451042366997,-2.56635213696832,2.59757792795368
30,-2.1848056270656,2.22109945802741,-2.56527336056476,2.54635672583911
31,-2.55558336523392,2.49398420421774,-2.5568707991938,2.57369667846657
32,-2.76377372287555,2.67612500932019,-2.54390828255533,2.51863027704559
33,-3.04929107156097,2.89123674455646,-2.52180488140559,2.55761465278687
34,-2.93822511881004,2.72896187754223,-2.56761521998035,2.56132361925187
35,-2.29586120188151,2.42843097665683,-2.60125283341443,2.58087897132005
36,-2.59997733932516,2.4747593281875,-2.56545143595215,2.53104502313087
37,-2.30012276616406,2.62464369322613,-2.59360477844056,2.57362857724206
38,-2.59784710036271,2.67510715457835,-2.5052990823847,2.56399236736871
39,-2.49605573862824,2.18417567933305,-2.59098733818979,2.56337984315441
40,-2.73298254861159,2.04308758952053,-2.53299746515718,2.57907711181316
41,-2.29409337532484,2.56652378370362,-2.56852126702862,2.613215098444
