k,n_j,sigma_sq,coverage,avg_length
5,20,1,0.904,3.622896991677
10,20,1,0.913,3.59373966074675
15,20,1,0.904,3.57930029464875
20,20,1,0.927,3.63984452035072
25,20,1,0.907,3.644597297687
30,20,1,0.897,3.63483018802069
35,20,1,0.929,3.64040734364596
40,20,1,0.917,3.61497646042181
45,20,1,0.901,3.57927157163521
50,20,1,0.906,3.6092851877625
55,20,1,0.914,3.6129798065206
60,20,1,0.899,3.61308571974276
65,20,1,0.902,3.57494506003394
70,20,1,0.91,3.60673775977568
75,20,1,0.897,3.59050319636779
80,20,1,0.907,3.65028205438814
85,20,1,0.924,3.59702537860618
90,20,1,0.897,3.60790869278396
95,20,1,0.908,3.637573433985
100,20,1,0.907,3.62564177864302
105,20,1,0.902,3.63796895492261
110,20,1,0.893,3.58037536549026
115,20,1,0.916,3.61121422725429
120,20,1,0.913,3.55670501428999
125,20,1,0.902,3.64250319144571
130,20,1,0.895,3.64794420094318
135,20,1,0.925,3.63612909267594
140,20,1,0.914,3.60098979908272
145,20,1,0.911,3.61471911427077
150,20,1,0.905,3.597116083
155,20,1,0.903,3.59997237100403
160,20,1,0.895,3.60402975688737
165,20,1,0.92,3.62820804388504
170,20,1,0.916,3.58892885611874
175,20,1,0.914,3.59884302510053
180,20,1,0.877,3.61558646034439
185,20,1,0.901,3.58170014994976
190,20,1,0.924,3.61637361913576
195,20,1,0.911,3.59559768454188
200,20,1,0.899,3.57587035275869
205,20,1,0.904,3.65224387074541
210,20,1,0.902,3.63018650942189
215,20,1,0.865,3.60558860241432
220,20,1,0.9,3.58255219594322
225,20,1,0.903,3.56959753574032
230,20,1,0.91,3.63511904585513
235,20,1,0.92,3.61887645012496
240,20,1,0.905,3.62328504502304
245,20,1,0.896,3.61963747882896
250,20,1,0.903,3.59865233193536
255,20,1,0.892,3.58833209766389
260,20,1,0.92,3.62323138293851
265,20,1,0.887,3.60200401619752
270,20,1,0.91,3.56813464319452
275,20,1,0.909,3.65042042163567
280,20,1,0.905,3.6302803230566
285,20,1,0.914,3.58545286946296
290,20,1,0.901,3.57512932820677
295,20,1,0.904,3.61559914890742
300,20,1,0.909,3.64843056153731
305,20,1,0.907,3.61615273774252
310,20,1,0.905,3.64463567602653
315,20,1,0.912,3.62842488865298
320,20,1,0.904,3.62535631684841
325,20,1,0.901,3.57912204914864
330,20,1,0.904,3.59926622746289
335,20,1,0.919,3.60709220976874
340,20,1,0.905,3.6494219693977
345,20,1,0.907,3.63593426015028
350,20,1,0.896,3.62607612422942
355,20,1,0.919,3.5954346665317
360,20,1,0.9,3.64771284931724
365,20,1,0.915,3.63375348078681
370,20,1,0.909,3.63205973178255
375,20,1,0.903,3.65083844768292
380,20,1,0.906,3.65769680390018
385,20,1,0.911,3.60663514012123
390,20,1,0.9,3.60640509688744
395,20,1,0.896,3.59017539814831
400,20,1,0.903,3.59276042304238
405,20,1,0.896,3.59345327980661
410,20,1,0.923,3.62588233171092
415,20,1,0.901,3.57004283012614
420,20,1,0.901,3.61927015667455
425,20,1,0.893,3.57320526201795
430,20,1,0.908,3.60562376210631
435,20,1,0.907,3.63985205605637
440,20,1,0.9,3.5976538544772
445,20,1,0.902,3.60168184078344
450,20,1,0.909,3.65098914515651
455,20,1,0.894,3.59309399982683
460,20,1,0.906,3.60797659747383
465,20,1,0.894,3.659937872425
470,20,1,0.897,3.57720068968289
475,20,1,0.906,3.6105718919256
480,20,1,0.892,3.59241974013636
485,20,1,0.911,3.59105724594522
490,20,1,0.916,3.63929462705261
495,20,1,0.903,3.6158098326176
500,20,1,0.917,3.57891690211764
505,20,1,0.922,3.59824345375124
510,20,1,0.885,3.58656065144634
515,20,1,0.925,3.6536235977809
520,20,1,0.895,3.63227588609149
525,20,1,0.903,3.62153956134453
530,20,1,0.899,3.58136847994681
535,20,1,0.912,3.61131191814627
540,20,1,0.91,3.63183627897288
545,20,1,0.911,3.6278322872232
550,20,1,0.916,3.6370594177458
555,20,1,0.901,3.64390562439046
560,20,1,0.898,3.62639904721234
565,20,1,0.905,3.63659172377377
570,20,1,0.9,3.60069993102829
575,20,1,0.893,3.60048688037189
580,20,1,0.912,3.6156104766932
585,20,1,0.903,3.60756689522481
590,20,1,0.901,3.6321856611904
595,20,1,0.914,3.5628825003975
600,20,1,0.91,3.62658121538379
605,20,1,0.907,3.6087256694763
610,20,1,0.916,3.63600343321203
615,20,1,0.914,3.65705380556278
620,20,1,0.904,3.6261554945748
625,20,1,0.91,3.60965316056395
630,20,1,0.894,3.59595264767182
635,20,1,0.914,3.62392530034214
640,20,1,0.905,3.57044285325027
645,20,1,0.912,3.61433884336545
650,20,1,0.899,3.61572810551579
655,20,1,0.891,3.6053989127174
660,20,1,0.913,3.58510849996611
665,20,1,0.902,3.61865983035092
670,20,1,0.916,3.62079021510726
675,20,1,0.9,3.62068237522575
680,20,1,0.911,3.62822231915795
685,20,1,0.898,3.60073487333484
690,20,1,0.902,3.59026395874288
695,20,1,0.895,3.64709736678144
700,20,1,0.915,3.59983378064577
705,20,1,0.914,3.6198491006717
710,20,1,0.913,3.61365522068244
715,20,1,0.907,3.64515315505595
720,20,1,0.901,3.62215886210862
725,20,1,0.891,3.63920359707073
730,20,1,0.896,3.62259924487124
735,20,1,0.9,3.66088855451367
740,20,1,0.901,3.60073904867816
745,20,1,0.899,3.59748080270985
750,20,1,0.901,3.6307432881002
755,20,1,0.904,3.61356966738915
760,20,1,0.908,3.59437884625505
765,20,1,0.903,3.64358869314103
770,20,1,0.911,3.62574316391442
775,20,1,0.906,3.59880162216091
780,20,1,0.895,3.67475960244077
785,20,1,0.908,3.63840125584934
790,20,1,0.912,3.6202005417585
795,20,1,0.897,3.62262815282694
800,20,1,0.899,3.59321972791226
805,20,1,0.904,3.64871044234515
810,20,1,0.913,3.60931087495421
815,20,1,0.894,3.58681106470787
820,20,1,0.883,3.59109325551738
825,20,1,0.882,3.6068456254841
830,20,1,0.925,3.60210791465088
835,20,1,0.893,3.64722727321968
840,20,1,0.893,3.6250283969768
845,20,1,0.901,3.59451561467169
850,20,1,0.893,3.57618693090764
855,20,1,0.902,3.6172430238635
860,20,1,0.916,3.60955855805718
865,20,1,0.891,3.60207958974689
870,20,1,0.913,3.60540800117548
875,20,1,0.907,3.60998023105452
880,20,1,0.905,3.65245903804633
885,20,1,0.917,3.56345952852776
890,20,1,0.889,3.58879355671142
895,20,1,0.888,3.57590850703875
900,20,1,0.913,3.59958490681187
905,20,1,0.9,3.61097192416387
910,20,1,0.905,3.60351551371298
915,20,1,0.915,3.63091210300203
920,20,1,0.895,3.60937876849121
925,20,1,0.899,3.5959582761729
930,20,1,0.899,3.58673760317153
935,20,1,0.924,3.63905972782883
940,20,1,0.908,3.64136476790093
945,20,1,0.893,3.59614466990425
950,20,1,0.907,3.57951417751883
955,20,1,0.893,3.64563386601998
960,20,1,0.899,3.64245527034803
965,20,1,0.893,3.56927151255257
970,20,1,0.899,3.60980278243795
975,20,1,0.9,3.63136212687949
980,20,1,0.925,3.64061857499654
985,20,1,0.906,3.66420248527343
990,20,1,0.884,3.61740706649488
995,20,1,0.917,3.62263969707053
1000,20,1,0.888,3.61932787919682
5,20,100,0.9,35.7329723728328
10,20,100,0.9,35.6342656422195
15,20,100,0.896,35.4864858309279
20,20,100,0.911,35.6187703595614
25,20,100,0.892,35.0641092469272
30,20,100,0.907,35.6789708096366
35,20,100,0.904,35.6442305628854
40,20,100,0.903,35.2568666896485
45,20,100,0.903,35.5666889050146
50,20,100,0.91,35.6274010581662
55,20,100,0.9,35.1416161196374
60,20,100,0.914,35.3468472767163
