Days,Baseline,alpha,min_pred_int,max_pred_int
1,190,0.1,6.96656116576453,352.348896876048
5,190,0.1,117.936773972166,315.350787862565
9,190,0.1,159.978001754457,373.272474466358
1,200,0.1,119.560812972653,294.618343696217
5,200,0.1,153.235718706372,341.964171614719
9,200,0.1,191.042696671947,459.538696880352
1,210,0.1,110.500621377937,307.903587397711
5,210,0.1,141.866417419706,326.595079398295
9,210,0.1,204.933750104101,482.634950325318
1,220,0.1,128.294775357772,334.075227839373
5,220,0.1,158.950011956796,361.917754764397
9,220,0.1,236.201783602237,466.257035978043
1,230,0.1,139.748010706441,329.511931915209
5,230,0.1,184.921882138663,387.027035474135
9,230,0.1,176.244582412792,437.344578909011
1,240,0.1,137.206670830262,359.944647546686
5,240,0.1,190.211447705634,360.387896924458
9,240,0.1,144.511649445273,482.096287389964
1,250,0.1,115.076980926404,350.988122451282
5,250,0.1,203.071584740924,388.415423819701
9,250,0.1,267.904031150842,488.959364408386
1,260,0.1,166.485890463269,334.327250949119
5,260,0.1,204.485684569724,402.515960648478
9,260,0.1,205.540006263402,496.953868645343
1,270,0.1,184.368870425654,347.117312284398
5,270,0.1,135.896718515419,480.504526133219
9,270,0.1,191.787455236448,424.293041374212
1,280,0.1,144.991638488267,410.109810613879
5,280,0.1,212.402335392042,430.118062422477
9,280,0.1,306.406669406944,491.785612527485
1,290,0.1,101.713112027571,464.445580885822
5,290,0.1,182.84568999482,455.452606860377
9,290,0.1,219.805122467221,574.515991186553
1,300,0.1,138.744356911553,469.777497645938
5,300,0.1,244.625821745393,442.235779872567
9,300,0.1,290.037334582631,510.234941608401
1,310,0.1,189.685779043991,412.730772663788
5,310,0.1,232.614531688026,505.312335502161
9,310,0.1,292.044998601815,511.036264967073
1,320,0.1,186.194212222952,411.553984423494
5,320,0.1,254.639686977301,508.824527516338
9,320,0.1,252.289381449902,528.965440811599
1,330,0.1,207.815134265112,394.186678115088
5,330,0.1,238.125591282822,471.987154329894
9,330,0.1,318.032955960957,530.79237715812
